[33mWARN[0m[2023-11-21 08:37:39] not enable search                            
[GIN] 2023/11/23 - 11:15:33 | 200 |    2.386474ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:36 | 200 |   21.338969ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:38 | 200 |     947.751µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:42 | 200 |      319.07µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:44 | 200 |     173.251µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:45 | 200 |     142.119µs |  192.168.15.118 | GET      "/api/admin/driver/names"
[GIN] 2023/11/23 - 11:15:45 | 200 |    1.209963ms |  192.168.15.118 | GET      "/api/admin/storage/list"
[GIN] 2023/11/23 - 11:15:46 | 200 |    1.028246ms |  192.168.15.118 | GET      "/api/admin/storage/get?id=1"
[GIN] 2023/11/23 - 11:15:46 | 200 |     563.051µs |  192.168.15.118 | GET      "/api/admin/driver/info?driver=Local"
[GIN] 2023/11/23 - 11:15:51 | 200 |    1.786515ms |  192.168.15.118 | POST     "/api/admin/storage/update"
[GIN] 2023/11/23 - 11:15:51 | 200 |     134.433µs |  192.168.15.118 | GET      "/api/admin/driver/names"
[GIN] 2023/11/23 - 11:15:51 | 200 |    1.054452ms |  192.168.15.118 | GET      "/api/admin/storage/list"
[GIN] 2023/11/23 - 11:15:52 | 200 |     149.218µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:52 | 200 |     218.326µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/23 - 11:15:52 | 200 |     169.328µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:15:52 | 200 |     164.289µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:52 | 200 |     273.076µs |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:15:52 | 200 |     252.961µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:53 | 200 |      293.98µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:54 | 200 |     292.526µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:54 | 200 |    1.311637ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:55 | 200 |     278.932µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:56 | 200 |     303.576µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:56 | 200 |     315.044µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:15:57 | 200 |     133.614µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:15:58 | 200 |      227.81µs |  192.168.15.118 | GET      "/api/admin/driver/names"
[GIN] 2023/11/23 - 11:15:58 | 200 |    1.165768ms |  192.168.15.118 | GET      "/api/admin/storage/list"
[GIN] 2023/11/23 - 11:15:59 | 200 |     702.122µs |  192.168.15.118 | GET      "/api/admin/storage/get?id=1"
[GIN] 2023/11/23 - 11:15:59 | 200 |      200.95µs |  192.168.15.118 | GET      "/api/admin/driver/info?driver=Local"
[GIN] 2023/11/23 - 11:16:15 | 200 |    1.846589ms |  192.168.15.118 | POST     "/api/admin/storage/update"
[GIN] 2023/11/23 - 11:16:15 | 200 |     161.567µs |  192.168.15.118 | GET      "/api/admin/driver/names"
[GIN] 2023/11/23 - 11:16:15 | 200 |    1.193226ms |  192.168.15.118 | GET      "/api/admin/storage/list"
[GIN] 2023/11/23 - 11:16:15 | 200 |     183.588µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:16:15 | 200 |     180.314µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/23 - 11:16:15 | 200 |     164.743µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:16:15 | 200 |     144.791µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:16:16 | 200 |     586.885µs |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:16:16 | 200 |      587.63µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:16:33 | 200 |     920.772µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:16:34 | 200 |     528.693µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:16:35 | 200 |     830.367µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:16:35 | 200 |     535.233µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:06 | 200 |      607.18µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:07 | 200 |    1.829523ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:08 | 200 |      568.86µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:09 | 200 |     513.232µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:09 | 200 |    1.029879ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:11 | 200 |    1.148956ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:12 | 200 |     680.683µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:13 | 200 |    1.375591ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:15 | 200 |    1.294324ms |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:30:15 | 200 |     190.061µs |  192.168.15.118 | GET      "/assets/File.877b70c9.js"
[GIN] 2023/11/23 - 11:30:15 | 200 |      54.957µs |  192.168.15.118 | GET      "/assets/image.47cb07bc.js"
[GIN] 2023/11/23 - 11:30:15 | 200 |      87.703µs |  192.168.15.118 | GET      "/assets/ImageWithError.8e60b24f.js"
[GIN] 2023/11/23 - 11:30:16 | 200 |  954.833222ms |  192.168.15.118 | GET      "/p/项目管理部/照片/FSC-2023-合肥/11.6照片/DSC07647.JPG"
[GIN] 2023/11/23 - 11:30:17 | 200 |    1.065393ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:18 | 200 |     700.184µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:19 | 200 |     509.262µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:20 | 200 |     535.669µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:20 | 200 |     973.482µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:22 | 200 |    1.026225ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:26 | 200 |     936.991µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:26 | 200 |    1.086079ms |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:30:26 | 200 |    4.188481ms |  192.168.15.118 | GET      "/assets/video.a96dcaab.js"
[GIN] 2023/11/23 - 11:30:26 | 200 |   44.366636ms |  192.168.15.118 | GET      "/assets/video_box.e6adb724.js"
[GIN] 2023/11/23 - 11:30:26 | 200 |     191.009µs |  192.168.15.118 | GET      "/images/potplayer.webp"
[GIN] 2023/11/23 - 11:30:26 | 200 |     247.676µs |  192.168.15.118 | GET      "/images/vlc.webp"
[GIN] 2023/11/23 - 11:30:26 | 200 |     277.927µs |  192.168.15.118 | GET      "/images/nplayer.webp"
[GIN] 2023/11/23 - 11:30:26 | 200 |    1.296826ms |  192.168.15.118 | GET      "/images/iina.webp"
[GIN] 2023/11/23 - 11:30:26 | 200 |     174.885µs |  192.168.15.118 | GET      "/images/infuse.webp"
[GIN] 2023/11/23 - 11:30:26 | 200 |     829.556µs |  192.168.15.118 | GET      "/images/mxplayer.webp"
[GIN] 2023/11/23 - 11:30:26 | 200 |     725.177µs |  192.168.15.118 | GET      "/images/mxplayer-pro.webp"
[GIN] 2023/11/23 - 11:30:26 | 206 |    56.27404ms |  192.168.15.118 | GET      "/p/项目管理部/素材/视频/仿真/八字第三视角.mp4"
[GIN] 2023/11/23 - 11:30:26 | 206 |   65.078282ms |  192.168.15.118 | GET      "/p/项目管理部/素材/视频/仿真/八字第三视角.mp4"
[GIN] 2023/11/23 - 11:30:39 | 200 |     619.811µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:40 | 200 |     899.482µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:43 | 200 |      423.01µs |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:30:43 | 206 |    8.450878ms |  192.168.15.118 | GET      "/p/项目管理部/素材/视频/3.19-1.MP4"
[GIN] 2023/11/23 - 11:30:48 | 200 |     838.953µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:49 | 200 |     518.722µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:50 | 200 |     489.903µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:51 | 200 |     553.702µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:53 | 200 |    1.104892ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:54 | 200 |    1.028836ms |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:30:55 | 200 |    1.131899ms |  192.168.15.118 | POST     "/api/fs/get"
[GIN] 2023/11/23 - 11:30:55 | 206 | 28.865265849s |  192.168.15.118 | GET      "/p/项目管理部/素材/视频/仿真/八字第三视角.mp4"
[GIN] 2023/11/23 - 11:30:55 | 206 |   10.126892ms |  192.168.15.118 | GET      "/p/文档/外校参考/北理无人.mp4"
[GIN] 2023/11/23 - 11:30:55 | 206 |  110.961155ms |  192.168.15.118 | GET      "/p/文档/外校参考/北理无人.mp4"
[GIN] 2023/11/23 - 11:30:57 | 206 |  1.879299478s |  192.168.15.118 | GET      "/p/文档/外校参考/北理无人.mp4"
[GIN] 2023/11/23 - 11:30:59 | 206 |  1.742457706s |  192.168.15.118 | GET      "/p/文档/外校参考/北理无人.mp4"
[GIN] 2023/11/23 - 11:31:00 | 200 |     837.384µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:31:01 | 200 |     556.793µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:31:01 | 200 |     521.124µs |  192.168.15.118 | POST     "/api/fs/list"
[GIN] 2023/11/23 - 11:31:03 | 206 | 20.029159597s |  192.168.15.118 | GET      "/p/项目管理部/素材/视频/3.19-1.MP4"
[GIN] 2023/11/23 - 11:31:03 | 206 |   3.70338242s |  192.168.15.118 | GET      "/p/文档/外校参考/北理无人.mp4"
